Chambal Fert,CFC,http://www.moneycontrol.com/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC
Chennai Petro,CPC02,http://www.moneycontrol.com/india/stockpricequote/refineries/chennaipetroleumcorporation/CPC02
Cholamandalam,TII,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII
Cholamandalam,CDB,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB
Cipla,C,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C
City Union Bank,CUB,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/cityunionbank/CUB
Coal India,CI11,http://www.moneycontrol.com/india/stockpricequote/miningminerals/coalindia/CI11
Coffee Day,CDE,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/coffeedayenterprises/CDE
Colgate,CPI,http://www.moneycontrol.com/india/stockpricequote/personalcare/colgatepalmoliveindia/CPI
Container Corp,CCI,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/containercorporationindia/CCI
Coromandel Int,CI45,http://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45
Corporation Bk,CB,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/corporationbank/CB
Cox & Kings,CK,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/coxkings/CK
CRISIL,CRI,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI
Cummins,CI02,http://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02
Cyient,IE07,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/cyient/IE07
Dabur India,DI,http://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI
Dalmia Bharat,DBE,http://www.moneycontrol.com/india/stockpricequote/cementmajor/dalmiabharat/DBE
DB Corp,C13,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dbcorp/C13
DCB Bank,DCB01,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/dcbbank/DCB01
